year,FDI,Tech,Manufacturing,Trade
1966,,,,0
1967,,,,0
1968,,,,0
1969,,,,0
1970,70000.0,,,0
1971,1820000.0,,,0
1972,-890000.0,,,0
1973,1030000.0,,,0
1974,1250000.0,,,0
1975,4089999.9,,,0
1976,-340000.0,,,0
1977,-10000.0,,,0
1978,463333.3,,,0
1979,-60000.0,,,0
1980,1666666.6,,,0
1981,17910000.0,,,0
1982,13050000.0,,,0
1983,131111.1,,,0
1984,690000.0,,,0
1985,-80000.0,,,0
1986,40000.0,,,0
1987,10363703.7,,,0
1988,7679999.9,,,0
1989,4070000.0,,,0
1990,180000000.0,,,0
1991,375190280.0,,,0
1992,473945860.0,,,0
1993,926303710.0,,,0
1994,1944515940.0,,,0
1995,1780400000.0,,,0
1996,2395000000.0,,,0
1997,2220000000.0,,,0
1998,1671000000.0,,,0
1999,1412000000.0,,,0
2000,1298000000.0,,,0
2001,1300000000.0,,,0
2002,1400000000.0,,,0
2003,1450000000.0,,,0
2004,1610000000.0,,,0
2005,1954000000.0,,18.8232835631471,0
2006,2400000000.0,,19.3807256267869,0
2007,6700000000.0,,19.3804144953877,0
2008,9579000000.0,3016805392.0,18.5796576460957,0
2009,7600000000.0,3533883638.0,18.3010354592131,0
2010,8000000000.0,6069554443.0,17.1305705708367,0
2011,7430000000.0,11709409219.0,18.694145538196,0
2012,8368000000.0,21346437527.0,20.2740924828827,0
2013,8900000000.0,32759478692.0,20.6874536915425,0
2014,9200000000.0,36376040130.0,20.371229229791,0
2015,11800000000.0,47524790042.0,20.9600916821922,0
2016,12600000000.0,55216909912.0,21.4882532002034,0
2017,14100000000.0,74114052667.0,22.6271239749306,0
2018,15500000000.0,82611228668.0,23.3671679233065,0
2019,16120000000.0,90430194116.0,23.7867165015145,0
2020,15800000000.0,101534457843.0,23.9472430412931,0
2021,15660000000.0,120466093145.0,24.4593726835115,0
2022,17900000000.0,135907434790.0,24.7772286923041,0
2023,18500000000.0,132776576635.0,24.179672453009,0
2024,20170000000.0,132776576635.0,24.4304272603192,0
2025,20170000000.0,132776576635.0,24.4304272603192,0
