year,FDI,HighTech,Manufacturing,Services,Trade,Energy,Education,Healthcare,HCM_FDI,HCM_HighTech,HCM_Manufacturing,HCM_Services,HCM_Trade,HCM_Energy,HCM_Education,HCM_Healthcare
2015,11800000000.0,47524790042.0,20.9600916821922,42.1930087721287,144.914228195237,99.3,3.41660449674943,4.71140909,3304000000.0000005,21386155518.9,3.772816502794596,14.767553070245043,33.33027248490451,22.839,0.785819034252369,1.0836240907
2016,12600000000.0,55216909912.0,21.4882532002034,42.8544900073075,145.409507973118,99.2,3.46906995773315,4.86994743,3528000000.0000005,24847609460.4,3.8678855760366115,14.999071502557623,33.44418683381714,22.816000000000003,0.7978860902786244,1.1200879089
2017,14100000000.0,74114052667.0,22.6271239749306,42.5807243141144,160.98008365887,100.0,3.41865686539527,4.99014759,3948000000.0000005,33351323700.15,4.072882315487508,14.903253509940038,37.0254192415401,23.0,0.7862910790409121,1.1477339457000002
2018,15500000000.0,82611228668.0,23.3671679233065,42.1709178908888,164.663936775893,100.0,3.29537010192871,5.02678823,4340000000.0,37175052900.6,4.20609022619517,14.75982126181108,37.87270545845539,23.0,0.7579351234436034,1.1561612929
2019,16120000000.0,90430194116.0,23.7867165015145,42.4687227777403,164.704215031408,99.4,3.08499832693462,4.97407484,4513600000.0,40693587352.200005,4.28160897027261,14.864052972209103,37.881969457223846,22.862000000000002,0.7095496151949626,1.1440372132
2020,15800000000.0,101534457843.0,23.9472430412931,41.8311604395691,163.245862814935,99.8,3.21652900152514,4.33219814,4424000000.0,45690506029.35,4.310503747432758,14.640906153849185,37.54654844743505,22.954,0.7398016703507823,0.9964055722
2021,15660000000.0,120466093145.0,24.4593726835115,41.2574400803721,186.675832836814,100.0,2.94517488804327,4.53792429,4384800000.0,54209741915.25,4.4026870830320695,14.440104028130234,42.935441552467225,23.0,0.6773902242499522,1.0437225867000002
2022,17900000000.0,135907434790.0,24.7772286923041,41.1356424431376,183.153619147836,100.0,2.88738689372749,4.53809595,5012000000.000001,61158345655.5,4.459901164614737,14.397474855098158,42.12533240400228,23.0,0.6640989855573227,1.0437620685
2023,18500000000.0,132776576635.0,24.179672453009,42.2942279625883,164.818071269894,99.8,2.88738689372749,4.56109476,5180000000.000001,59749459485.75,4.35234104154162,14.802979786905905,37.908156392075625,22.954,0.6640989855573227,1.0490517948
2024,20170000000.0,132776576635.0,24.4304272603192,42.3596025324624,173.862024782965,99.8,2.88738689372749,4.56109476,5647600000.000001,59749459485.75,4.397476906857456,14.825860886361838,39.98826570008195,22.954,0.6640989855573227,1.0490517948
